CENTRO LFUSE1;AREALF1;12 Marzo 2022
VENTO;2;vento debole
UMIDITA';4;molto umido
PRESSIONE;3;bassa pressione
TEMPERATURA;5;sopra i 30 gradi
PRECIPITAZIONE;1;rare
ALTITUDINE DEI GHIACCIAI;1;1200mt
MASSA DEI GHIACCIAI;1;Quasi nulla
CENTRO LFUSE1;AREALF2;31 Dicembre 2023
VENTO;4;Forte
UMIDITA';2;Quasi assente
PRESSIONE;4;Alta Pressione
TEMPERATURA;5;-10 gradi
PRECIPITAZIONE;5;neve
ALTITUDINE DEI GHIACCIAI;5;3400mt
MASSA DEI GHIACCIAI;3;Causa del cambiamento climatico
CENTROAC;AREAAC1;12 Aprile 2019
VENTO;4;Vento forte
UMIDITA';3;Umidita normale
PRESSIONE;4;pressione alta
TEMPERATURA;3;Media
PRECIPITAZIONE;4;Forte
ALTITUDINE DEI GHIACCIAI;3;2100mt
MASSA DEI GHIACCIAI;4;presente
